ID,activity_date,start_date,end_date,activity,activity_details,duration_min,source,weekday,weekday_name
142,8/16/2020 22:36,8/16/2020 22:36,8/17/2020 0:44,Caminata,HIGH CONFIRMED,128,Google Maps,7,Domingo
143,8/17/2020 2:02,8/17/2020 2:02,8/17/2020 2:52,Caminata,HIGH ,50,Google Maps,1,Lunes
280,8/21/2020 18:07,,,Yoga,MalovaElena,32,YouTube,5,Viernes
144,8/23/2020 18:06,8/23/2020 18:06,8/23/2020 18:25,Caminata,HIGH ,19,Google Maps,7,Domingo
145,8/27/2020 23:40,8/27/2020 23:40,8/28/2020 0:13,Caminata,HIGH ,33,Google Maps,4,Jueves
146,9/6/2020 17:00,9/6/2020 17:00,9/6/2020 17:22,Caminata,HIGH ,22,Google Maps,7,Domingo
147,9/11/2020 23:23,9/11/2020 23:23,9/11/2020 23:43,Caminata,HIGH ,20,Google Maps,5,Viernes
148,9/11/2020 23:57,9/11/2020 23:57,9/12/2020 0:15,Caminata,HIGH ,18,Google Maps,5,Viernes
149,9/19/2020 1:00,9/19/2020 1:00,9/19/2020 3:09,Caminata,HIGH CONFIRMED,129,Google Maps,6,Sábado
150,9/24/2020 0:21,9/24/2020 0:21,9/24/2020 0:36,Caminata,HIGH ,15,Google Maps,4,Jueves
151,9/24/2020 1:30,9/24/2020 1:30,9/24/2020 1:58,Caminata,HIGH ,28,Google Maps,4,Jueves
152,9/30/2020 23:48,9/30/2020 23:48,10/1/2020 0:12,Caminata,HIGH ,24,Google Maps,3,Miércoles
153,10/8/2020 23:51,10/8/2020 23:51,10/9/2020 0:17,Caminata,HIGH ,26,Google Maps,4,Jueves
154,10/11/2020 1:34,10/11/2020 1:34,10/11/2020 1:52,Caminata,HIGH ,18,Google Maps,7,Domingo
155,10/11/2020 16:48,10/11/2020 16:48,10/11/2020 17:15,Caminata,HIGH ,27,Google Maps,7,Domingo
156,10/11/2020 17:21,10/11/2020 17:21,10/11/2020 18:26,Caminata,HIGH CONFIRMED,65,Google Maps,7,Domingo
157,10/11/2020 18:38,10/11/2020 18:38,10/11/2020 19:28,Caminata,HIGH CONFIRMED,50,Google Maps,7,Domingo
158,10/11/2020 19:30,10/11/2020 19:30,10/11/2020 21:16,Caminata,HIGH CONFIRMED,106,Google Maps,7,Domingo
159,10/17/2020 0:55,10/17/2020 0:55,10/17/2020 1:49,Caminata,HIGH ,54,Google Maps,6,Sábado
160,10/17/2020 17:50,10/17/2020 17:50,10/17/2020 18:18,Caminata,HIGH ,28,Google Maps,6,Sábado
161,10/19/2020 1:08,10/19/2020 1:08,10/19/2020 1:24,Caminata,HIGH ,16,Google Maps,1,Lunes
162,10/30/2020 23:32,10/30/2020 23:32,10/30/2020 23:49,Caminata,HIGH ,17,Google Maps,5,Viernes
163,10/31/2020 0:17,10/31/2020 0:17,10/31/2020 1:50,Caminata,HIGH ,93,Google Maps,6,Sábado
164,10/31/2020 22:25,10/31/2020 22:25,10/31/2020 22:43,Caminata,HIGH ,18,Google Maps,6,Sábado
165,11/4/2020 17:17,11/4/2020 17:17,11/4/2020 17:48,Caminata,HIGH ,31,Google Maps,3,Miércoles
166,11/12/2020 1:28,11/12/2020 1:28,11/12/2020 2:23,Caminata,HIGH ,55,Google Maps,4,Jueves
167,11/14/2020 0:23,11/14/2020 0:23,11/14/2020 0:44,Caminata,HIGH ,21,Google Maps,6,Sábado
168,11/15/2020 17:43,11/15/2020 17:43,11/15/2020 18:35,Bicicleta,HIGH CONFIRMED,52,Google Maps,7,Domingo
169,11/15/2020 18:59,11/15/2020 18:59,11/15/2020 19:36,Bicicleta,HIGH ,37,Google Maps,7,Domingo
170,11/15/2020 21:46,11/15/2020 21:46,11/15/2020 22:09,Bicicleta,HIGH ,23,Google Maps,7,Domingo
171,11/15/2020 23:15,11/15/2020 23:15,11/15/2020 23:46,Bicicleta,HIGH ,31,Google Maps,7,Domingo
172,11/18/2020 0:58,11/18/2020 0:58,11/18/2020 1:33,Caminata,HIGH ,35,Google Maps,3,Miércoles
173,11/19/2020 0:49,11/19/2020 0:49,11/19/2020 1:08,Caminata,HIGH ,19,Google Maps,4,Jueves
174,11/22/2020 1:57,11/22/2020 1:57,11/22/2020 2:18,Caminata,HIGH ,21,Google Maps,7,Domingo
175,11/23/2020 23:44,11/23/2020 23:44,11/24/2020 0:12,Caminata,HIGH ,28,Google Maps,1,Lunes
104,11/24/2020 7:33,11/24/2020 7:33,,Yoga,Flow rápido,12,DogDown App,2,Martes
103,11/25/2020 7:48,11/25/2020 7:48,,Yoga,Flow rápido,12,DogDown App,3,Miércoles
176,11/25/2020 18:01,11/25/2020 18:01,11/25/2020 18:17,Caminata,HIGH ,16,Google Maps,3,Miércoles
177,11/26/2020 0:48,11/26/2020 0:48,11/26/2020 1:06,Caminata,HIGH ,18,Google Maps,4,Jueves
178,11/26/2020 6:23,11/26/2020 6:23,11/26/2020 6:38,Caminata,HIGH ,15,Google Maps,4,Jueves
102,11/26/2020 7:42,11/26/2020 7:42,,Yoga,Flow rápido,10,DogDown App,4,Jueves
101,11/27/2020 7:36,11/27/2020 7:36,,Yoga,Flow rápido Fuerza Centro,12,DogDown App,5,Viernes
179,11/29/2020 23:13,11/29/2020 23:13,11/29/2020 23:34,Caminata,HIGH ,21,Google Maps,7,Domingo
100,11/30/2020 7:35,11/30/2020 7:35,,Workout,,12,DogDown App,1,Lunes
180,12/1/2020 0:59,12/1/2020 0:59,12/1/2020 1:46,Caminata,HIGH ,47,Google Maps,2,Martes
181,12/1/2020 2:00,12/1/2020 2:00,12/1/2020 2:16,Caminata,HIGH ,16,Google Maps,2,Martes
99,12/1/2020 7:53,12/1/2020 7:53,,Workout,,12,DogDown App,2,Martes
98,12/2/2020 7:54,12/2/2020 7:54,,Workout,,12,DogDown App,3,Miércoles
97,12/3/2020 7:49,12/3/2020 7:49,,Workout,,12,DogDown App,4,Jueves
96,12/4/2020 7:48,12/4/2020 7:48,,Workout,,12,DogDown App,5,Viernes
182,12/7/2020 1:36,12/7/2020 1:36,12/7/2020 2:06,Caminata,HIGH CONFIRMED,30,Google Maps,1,Lunes
95,12/9/2020 7:47,12/9/2020 7:47,,Workout,,12,DogDown App,3,Miércoles
94,12/10/2020 7:38,12/10/2020 7:38,,Workout,,12,DogDown App,4,Jueves
93,12/11/2020 7:35,12/11/2020 7:35,,Yoga,Yoga Restaurativo,15,DogDown App,5,Viernes
92,12/14/2020 7:35,12/14/2020 7:35,,Workout,,12,DogDown App,1,Lunes
183,12/14/2020 23:51,12/14/2020 23:51,12/15/2020 0:24,Caminata,HIGH ,33,Google Maps,1,Lunes
91,12/15/2020 7:36,12/15/2020 7:36,,Workout,,12,DogDown App,2,Martes
184,12/16/2020 0:23,12/16/2020 0:23,12/16/2020 0:54,Caminata,HIGH ,31,Google Maps,3,Miércoles
90,12/16/2020 7:35,12/16/2020 7:35,,Workout,,12,DogDown App,3,Miércoles
89,12/17/2020 7:53,12/17/2020 7:53,,Workout,,12,DogDown App,4,Jueves
185,12/18/2020 1:27,12/18/2020 1:27,12/18/2020 2:07,Caminata,HIGH CONFIRMED,40,Google Maps,5,Viernes
88,12/18/2020 7:52,12/18/2020 7:52,,Workout,,10,DogDown App,5,Viernes
186,12/19/2020 2:56,12/19/2020 2:56,12/19/2020 3:16,Caminata,HIGH ,20,Google Maps,6,Sábado
187,12/19/2020 22:18,12/19/2020 22:18,12/19/2020 22:44,Caminata,HIGH ,26,Google Maps,6,Sábado
188,12/22/2020 0:24,12/22/2020 0:24,12/22/2020 0:42,Caminata,HIGH ,18,Google Maps,2,Martes
87,12/22/2020 7:48,12/22/2020 7:48,,Yoga,Sin calentamiento,15,DogDown App,2,Martes
86,12/23/2020 7:47,12/23/2020 7:47,,Yoga,Sin calentamiento,15,DogDown App,3,Miércoles
189,12/23/2020 19:16,12/23/2020 19:16,12/23/2020 20:01,Caminata,HIGH ,45,Google Maps,3,Miércoles
190,12/26/2020 21:23,12/26/2020 21:23,12/26/2020 21:39,Caminata,HIGH ,16,Google Maps,6,Sábado
